name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
gully,11,Florida,Nevada,14,$17.98,0.0%,29.0%,0.0%,2.97
bob,0,Florida,Nevada,14,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Florida,Nevada,14,$0.0,0.0%,0.0%,0.0%,8.0
drew,2,Florida,Nevada,14,$0.0,0.0%,0.0%,0.0%,12.94
liz,3,Florida,Nevada,14,$0.0,0.0%,0.0%,0.0%,5.0
barb,4,Florida,Nevada,14,$0.0,0.0%,0.0%,0.0%,15.0
dave monkey,7,Florida,Nevada,14,$0.0,0.0%,0.0%,0.0%,6.38
purdue pete,8,Florida,Nevada,14,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Florida,Nevada,14,$0.0,0.0%,0.0%,0.0%,11.78
peninsular danny,10,Florida,Nevada,14,$0.0,0.0%,0.0%,0.0%,10.38
jake,13,Florida,Nevada,14,$0.0,0.0%,0.0%,0.0%,9.75
terry,14,Florida,Nevada,14,$0.0,0.0%,0.0%,0.0%,6.38
tyler,15,Florida,Nevada,14,$0.0,0.0%,0.0%,0.0%,9.72

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Michigan,Montana,15,$248.0,100.0%,0.0%,0.0%,1.0
chad,5,Michigan,Montana,15,$40.69,0.0%,65.64%,0.0%,2.47
terry,14,Michigan,Montana,15,$13.41,0.0%,21.64%,0.0%,3.46
bob,0,Michigan,Montana,15,$10.0,0.0%,0.0%,100.0%,16.0
liquorman,6,Michigan,Montana,15,$7.55,0.0%,12.18%,0.0%,5.75
gully,11,Michigan,Montana,15,$6.93,0.0%,11.18%,0.0%,3.37
dave b.,1,Michigan,Montana,15,$0.0,0.0%,0.0%,0.0%,7.81
drew,2,Michigan,Montana,15,$0.0,0.0%,0.0%,0.0%,12.89
liz,3,Michigan,Montana,15,$0.0,0.0%,0.0%,0.0%,5.25
barb,4,Michigan,Montana,15,$0.0,0.0%,0.0%,0.0%,15.0
dave monkey,7,Michigan,Montana,15,$0.0,0.0%,0.0%,0.0%,6.78
purdue pete,8,Michigan,Montana,15,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Michigan,Montana,15,$0.0,0.0%,0.0%,0.0%,10.28
peninsular danny,10,Michigan,Montana,15,$0.0,0.0%,0.0%,0.0%,11.94
jake,13,Michigan,Montana,15,$0.0,0.0%,0.0%,0.0%,9.34
tyler,15,Michigan,Montana,15,$0.0,0.0%,0.0%,0.0%,10.43

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Virginia,Gardner-Webb,16,$248.0,100.0%,0.0%,0.0%,1.0
